document,from,to,date,origin,destination,letter_description
SP_29/155_f.115,Capt. John Tippetts,Samuel Pepys,1666-05-10,Portsmouth,London,"<p>John Tippelts to Sam. Pepys. Many ships having been sheathed in other places, can give no account of the time when it was done. The Mary and Newcastle have been sheathed a long time. With a list of 24 ships, and note how long some have had their sheathing.</p>"
SP_29/158_f.87,Henry Bennet Earl of Arlington,Sir Joseph Williamson,1666-06-06,Saxham,Whitehall,"<p>[Lord Arlington] to Williamson. Sends a relation for the King, thinking he may not have had so particular a one. Wants an express to-morrow on his way. Asks if His Majesty is going down to the coast. Sir Thos. Clifford's letter should be called for when the King has done with it, that it be not lost. With the postal envelope, ordering the letter to be immediately dispatched, &amp;c.</p>"
SP_29/160_f.47,Sir Thomas Allin,Samuel Pepys,1666-06-28,"Royal James, Buoy of the Nore",London,"<p>Sir Thos. Allin to Sam. Pepys. Desires immediate reimbursement, out of the contingent moneys, of the money expended in impressing seamen.</p>"
SP_29/165_f.9,Sir Thomas Allin,Sir Joseph Williamson,1666-07-27,Royal James,Whitehall,"<p>Sir Thos. Allin to Williamson. The engagement began the 25th, 9 a.m. His squadron led the van and began the dispute with the enemy's van, the generals with their main, and the Blue with the rear. After five hours' fighting, about 3 p.m., the Dutch began to run. Took two ships in the chase, one commanded by the Vice-admiral of Zealand, but he escaped into another ship. After taking out the prisoners, fired the ships, not having men to man them. The generals sunk two ships. Was in chase all night, and at 4 a.m., bearing up to De Ruyter, was wounded by splinters in the arm, and his face torn almost from ear to chin. Left the Dutch going into Flushing; they must lose many men, most of their ships being disabled. The Blue parted from them with 35 of the enemy. Failed to get between these 35 sail, and knows not what the Blue admiral has done.</p>"
SP_29/167_f.36,James Halsall,G. Porter,1666-08-10,London,Whitehall,"<p>Jas. Halsall to George Porter, stone gallery, Whitehall. Mrs. Carter, the poor woman they met yesterday, formerly lived with Mrs. Abbott, and preserved in her house Tom Blague, Robin Killigrew, Sir Rob. Shirley, Mr. O'Neale, Nic. Armorer, Lord Rochester, himself, and many others of the King's servants; she was their confidant and very faithful, and is now ready to starve; it would be a charity to get her into a hospital, or find her some means to live.</p>"
SP_29/167_f.209,Aphara Behn,James Halsall,1666-08-16,Antwerp,London,"<p>[Aphara Behn to Mr. Halsall]. Has had an interview with Celadon [Wm. Scott], taking a coach and going a day's journey with him for an opportunity of speaking to him; though at first shy, he became by arguments extremely willing to undertake the service, but said she must go to Holland, as [BampfieldJ hardly suffers him out of his sight, especially to go to Flanders, being the most jealous creature alive of the English officers about him. Celadon intends to resign his place in the troops, and accept some office less troublesome, and where he can do more effectually what she desires. He thought some time ago, of corresponding with Lord Arlington, but was prevented. [Bampfield] hides nothing from him, but watches all his actions so closely that he fears difficulty in sending what he writes. All the English are infinitely dissatisfied with [Bampfield], and most of them resolve to quit his troop and address themselves to the [States], from whom they expect more civility than from him who has drawn them in, and tries to keep them from such applications. Thinks she must venture to the Hague rather than miss what he promises, but Sir Ant. Desmarces, with whom she sailed, and to whom she told her business, advises her not to go to Holland. The man in Ludgate is a base rogue; he left, promising to set up a correspondence in all English seaports, and to let the Hollanders know when any merchant ships went out. Has spent the 40<i>l.</i> she brought with her, and wants money. Sends a cypher in single characters, which is easier than the double one she was to employ.</p>"
SP_29/169_f.47,Aphara Behn,James Halsall,1666-08-27,Antwerp,London,"<p>Aphara Behn to Mr. Halsall. Has been unable to do anything yet, Mr. Nipho and Sir Anthony [Des Marces] assist her, but can witness that it is a hard matter; dares not for her life go to Holland. On the burning of these ships, they have sent for their troops back from Germany. Trump and his brother are dismissed from office, and their sister degraded; there is great desolation at Amsterdam, and one of the states is turned out of the council. Hopes soon to settle a way of correspondence with the rogue, who expresses great desire to serve. Complains of the expensiveness of the place, and begs for money; has been forced to pawn a ring to pay her messengers. With a key to the cypher used subsequently in the correspondence.</p>"
SP_29/169_f.49,William Scott,Aphra Behn,1666-08-28,Rotterdam,Antwerp,"<p>[Wm. Scott to Aphara Behn]. Dares say little lest his letter should miscarry, there being a general expectation of something breaking out; wishes to meet her, but it must not be at the Hague. Wants her cypher, if it could be sent by a safe hand.</p>"
SP_29/169_f.155,Aphra Behn,James Halsall,1666-08-31,Antwerp,London,"<p>Aphara [Behn] to Major Halsall. Has at length met with Mr. Scott, who leaves nothing unsaid to beget confidence, seems earnest in his wish to serve, and wants not wit nor address, but only money; the States not having paid them, he is in debt at Amsterdam, and cannot leave; he thinks it best to quit his military employment, as it would keep him too far from the places where his services are needed; he would go at once, but cannot do it without a speedy supply. Celadon [Scott] will do nothing further without full authority, but he should be encouraged, for he can and will do service, and first he must be assured of his pardon. Sands Temple's treachery should not be suddenly discovered, or it may undo all; he is a damnable rogue, and should be kept in prison, for if he be let out, he will get into Holland, discover who have informed of him, and ruin all</p>"
SP_29/169_f.157,Aphra Behn,Thomas Killigrew,1666-08-31,Antwerp,London,"<p>A. Behn to Thos. Killigrew. Is obliged to trouble him, as she can get no reply from Mr. Halsall. Celadon [Scott] is most ready to serve His Majesty, but fears being ill dealt with, as all the King's friends there complain of the slenderness of their rewards; yet he tells her everything on her bare word, as confidently as if he had the King's great seal. He must have money, for though the States profess great esteem for the English troops, they have not paid them. Bampfield himself is out of money; dares not go to Holland for fear of Bampfield's jealousy, so gave [Scott] money to come twice to her, which cost 10<i>l.</i> a time, and all their letters have to be sent by special messengers. Complains of great expenses; brought only 40<i>l.</i> with her, and has to spend 10 guilders a day. Corney, a man in Antwerp, threatens to kill Celadon [Scott] if he comes again, and Bampfield, if he knew of his coming, would accuse him of treachery; therefore [Scott] is afraid to write in his own hand. Corney talks of being employed, and boasts as though he were the King's right hand, but he talks such rhodomontades as to </p><br><p><cpg id=""cmpg0723"" first=""yes"">83</cpg><pg id=""cmpg0723"" seq=""0114"" first=""yes"">83</pg>be dangerous to trust; entreats for money; owes 25<i>l.</i> or 30<i>l.</i>; will want more than 50<i>l.</i> to pay her debts and go to Holland, Begs to have [Scott's] pardon, and some assurance as to what he may expect.</p>"
